"Code"	"Frequency"
"M860"	2343.10947
"M861"	2341.18099
"M862"	2339.2525
"M863"	2337.32401
"M864"	2335.39553
"M865"	2333.46704
"M866"	2331.53856
"M867"	2329.61007
"M868"	2327.68159
"M869"	2325.7531
"M870"	2323.82462
"M871"	2321.89613
"M872"	2319.96765
"M873"	2318.03916
"M874"	2316.11068
"M875"	2314.18219
"M876"	2312.25371
"M877"	2310.32522
"M878"	2308.39674
"M879"	2306.46825
"M880"	2304.53977
"M881"	2302.61128
"M882"	2300.6828
"M883"	2298.75431
"M884"	2296.82583
"M885"	2294.89734
"M886"	2292.96886
"M887"	2291.04037
"M888"	2289.11189
"M889"	2287.1834
"M890"	2285.25492
"M891"	2283.32643
"M892"	2281.39795
"M893"	2279.46946
"M894"	2277.54097
"M895"	2275.61249
"M896"	2273.684
"M897"	2271.75552
"M898"	2269.82703
"M899"	2267.89855
"M900"	2265.97006
"M901"	2264.04158
"M902"	2262.11309
"M903"	2260.18461
"M904"	2258.25612
"M905"	2256.32764
"M906"	2254.39915
"M907"	2252.47067
"M908"	2250.54218
"M909"	2248.6137
"M910"	2246.68521
"M911"	2244.75673
"M912"	2242.82824
"M913"	2240.89976
"M914"	2238.97127
"M915"	2237.04279
"M916"	2235.1143
"M917"	2233.18582
"M918"	2231.25733
"M919"	2229.32885
"M920"	2227.40036
"M921"	2225.47188
"M922"	2223.54339
"M923"	2221.61491
"M924"	2219.68642
"M925"	2217.75793
"M926"	2215.82945
"M927"	2213.90096
"M928"	2211.97248
"M929"	2210.04399
"M930"	2208.11551
"M931"	2206.18702
"M932"	2204.25854
"M933"	2202.33005
"M934"	2200.40157
"M935"	2198.47308
"M936"	2196.5446
"M937"	2194.61611
"M938"	2192.68763
"M939"	2190.75914
"M940"	2188.83066
"M941"	2186.90217
"M942"	2184.97369
"M943"	2183.0452
"M944"	2181.11672
"M945"	2179.18823
"M946"	2177.25975
"M947"	2175.33126
"M948"	2173.40278
"M949"	2171.47429
"M950"	2169.54581
"M951"	2167.61732
"M952"	2165.68884
"M953"	2163.76035
"M954"	2161.83187
"M955"	2159.90338
"M956"	2157.97489
"M957"	2156.04641
"M958"	2154.11792
"M959"	2152.18944
"M960"	2150.26095
"M961"	2148.33247
"M962"	2146.40398
"M963"	2144.4755
"M964"	2142.54701
"M965"	2140.61853
"M966"	2138.69004
"M967"	2136.76156
"M968"	2134.83307
"M969"	2132.90459
"M970"	2130.9761
"M971"	2129.04762
"M972"	2127.11913
"M973"	2125.19065
"M974"	2123.26216
"M975"	2121.33368
"M976"	2119.40519
"M977"	2117.47671
"M978"	2115.54822
"M979"	2113.61974
"M980"	2111.69125
"M981"	2109.76277
"M982"	2107.83428
"M983"	2105.9058
"M984"	2103.97731
"M985"	2102.04883
"M986"	2100.12034
"M987"	2098.19185
"M988"	2096.26337
"M989"	2094.33488
"M990"	2092.4064
"M991"	2090.47791
"M992"	2088.54943
"M993"	2086.62094
"M994"	2084.69246
"M995"	2082.76397
"M996"	2080.83549
"M997"	2078.907
"M998"	2076.97852
"M999"	2075.05003
"M1000"	2073.12155
"M1001"	2071.19306
"M1002"	2069.26458
"M1003"	2067.33609
"M1004"	2065.40761
"M1005"	2063.47912
"M1006"	2061.55064
"M1007"	2059.62215
"M1008"	2057.69367
"M1009"	2055.76518
"M1010"	2053.8367
"M1011"	2051.90821
"M1012"	2049.97973
"M1013"	2048.05124
"M1014"	2046.12276
"M1015"	2044.19427
"M1016"	2042.26579
"M1017"	2040.3373
"M1018"	2038.40881
"M1019"	2036.48033
"M1020"	2034.55184
"M1021"	2032.62336
"M1022"	2030.69487
"M1023"	2028.76639
"M1024"	2026.8379
"M1025"	2024.90942
"M1026"	2022.98093
"M1027"	2021.05245
"M1028"	2019.12396
"M1029"	2017.19548
"M1030"	2015.26699
"M1031"	2013.33851
"M1032"	2011.41002
"M1033"	2009.48154
"M1034"	2007.55305
"M1035"	2005.62457
"M1036"	2003.69608
"M1037"	2001.7676
"M1038"	1999.83911
"M1039"	1997.91063
"M1040"	1995.98214
"M1041"	1994.05366
"M1042"	1992.12517
"M1043"	1990.19669
"M1044"	1988.2682
"M1045"	1986.33972
"M1046"	1984.41123
"M1047"	1982.48275
"M1048"	1980.55426
"M1049"	1978.62577
"M1050"	1976.69729
"M1051"	1974.7688
"M1052"	1972.84032
"M1053"	1970.91183
"M1054"	1968.98335
"M1055"	1967.05486
"M1056"	1965.12638
"M1057"	1963.19789
"M1058"	1961.26941
"M1059"	1959.34092
"M1060"	1957.41244
"M1061"	1955.48395
"M1062"	1953.55547
"M1063"	1951.62698
"M1064"	1949.6985
"M1065"	1947.77001
"M1066"	1945.84153
"M1067"	1943.91304
"M1068"	1941.98456
"M1069"	1940.05607
"M1070"	1938.12759
"M1071"	1936.1991
"M1072"	1934.27062
"M1073"	1932.34213
"M1074"	1930.41365
"M1075"	1928.48516
"M1076"	1926.55668
"M1077"	1924.62819
"M1078"	1922.69971
"M1079"	1920.77122
"M1080"	1918.84273
"M1081"	1916.91425
"M1082"	1914.98576
"M1083"	1913.05728
"M1084"	1911.12879
"M1085"	1909.20031
"M1086"	1907.27182
"M1087"	1905.34334
"M1088"	1903.41485
"M1089"	1901.48637
"M1090"	1899.55788
"M1091"	1897.6294
"M1092"	1895.70091
"M1093"	1893.77243
"M1094"	1891.84394
"M1095"	1889.91546
"M1096"	1887.98697
"M1097"	1886.05849
"M1098"	1884.13
"M1099"	1882.20152
"M1100"	1880.27303
"M1101"	1878.34455
"M1102"	1876.41606
"M1103"	1874.48758
"M1104"	1872.55909
"M1105"	1870.63061
"M1106"	1868.70212
"M1107"	1866.77364
"M1108"	1864.84515
"M1109"	1862.91667
"M1110"	1860.98818
"M1111"	1859.05969
"M1112"	1857.13121
"M1113"	1855.20272
"M1114"	1853.27424
"M1115"	1851.34575
"M1116"	1849.41727
"M1117"	1847.48878
"M1118"	1845.5603
"M1119"	1843.63181
"M1120"	1841.70333
"M1121"	1839.77484
"M1122"	1837.84636
"M1123"	1835.91787
"M1124"	1833.98939
"M1125"	1832.0609
"M1126"	1830.13242
"M1127"	1828.20393
"M1128"	1826.27545
"M1129"	1824.34696
"M1130"	1822.41848
"M1131"	1820.48999
"M1132"	1818.56151
"M1133"	1816.63302
"M1134"	1814.70454
"M1135"	1812.77605
"M1136"	1810.84757
"M1137"	1808.91908
"M1138"	1806.9906
"M1139"	1805.06211
"M1140"	1803.13363
"M1141"	1801.20514
"M1142"	1799.27665
"M1143"	1797.34817
"M1144"	1795.41968
"M1145"	1793.4912
"M1146"	1791.56271
"M1147"	1789.63423
"M1148"	1787.70574
"M1149"	1785.77726
"M1150"	1783.84877
"M1151"	1781.92029
"M1152"	1779.9918
"M1153"	1778.06332
"M1154"	1776.13483
"M1155"	1774.20635
"M1156"	1772.27786
"M1157"	1770.34938
"M1158"	1768.42089
"M1159"	1766.49241
"M1160"	1764.56392
"M1161"	1762.63544
"M1162"	1760.70695
"M1163"	1758.77847
"M1164"	1756.84998
"M1165"	1754.9215
"M1166"	1752.99301
"M1167"	1751.06453
"M1168"	1749.13604
"M1169"	1747.20756
"M1170"	1745.27907
"M1171"	1743.35059
"M1172"	1741.4221
"M1173"	1739.49362
"M1174"	1737.56513
"M1175"	1735.63664
"M1176"	1733.70816
"M1177"	1731.77967
"M1178"	1729.85119
"M1179"	1727.9227
"M1180"	1725.99422
"M1181"	1724.06573
"M1182"	1722.13725
"M1183"	1720.20876
"M1184"	1718.28028
"M1185"	1716.35179
"M1186"	1714.42331
"M1187"	1712.49482
"M1188"	1710.56634
"M1189"	1708.63785
"M1190"	1706.70937
"M1191"	1704.78088
"M1192"	1702.8524
"M1193"	1700.92391
"M1194"	1698.99543
"M1195"	1697.06694
"M1196"	1695.13846
"M1197"	1693.20997
"M1198"	1691.28149
"M1199"	1689.353
"M1200"	1687.42452
"M1201"	1685.49603
"M1202"	1683.56755
"M1203"	1681.63906
"M1204"	1679.71058
"M1205"	1677.78209
"M1206"	1675.8536
"M1207"	1673.92512
"M1208"	1671.99663
"M1209"	1670.06815
"M1210"	1668.13966
"M1211"	1666.21118
"M1212"	1664.28269
"M1213"	1662.35421
"M1214"	1660.42572
"M1215"	1658.49724
"M1216"	1656.56875
"M1217"	1654.64027
"M1218"	1652.71178
"M1219"	1650.7833
"M1220"	1648.85481
"M1221"	1646.92633
"M1222"	1644.99784
"M1223"	1643.06936
"M1224"	1641.14087
"M1225"	1639.21239
"M1226"	1637.2839
"M1227"	1635.35542
"M1228"	1633.42693
"M1229"	1631.49845
"M1230"	1629.56996
"M1231"	1627.64148
"M1232"	1625.71299
"M1233"	1623.78451
"M1234"	1621.85602
"M1235"	1619.92754
"M1236"	1617.99905
"M1237"	1616.07056
"M1238"	1614.14208
"M1239"	1612.21359
"M1240"	1610.28511
"M1241"	1608.35662
"M1242"	1606.42814
"M1243"	1604.49965
"M1244"	1602.57117
"M1245"	1600.64268
